Nama Produk;Unit Penjualan;Nama Influencer;Jumlah Followers;Platform Penjualan
Gentle Cleanser;1200;Beauty_ Enthusiast;500000;Shopee
Brightening Toner;1000;Skincare_Lover;750000;Tokopedia
Vitamin C Serum;900;Glowing _Goddess;1200000;Lazada
Hydrating Moisturizer;750;Radiant_ Beauty;2000000;Sociolla
Sunscreen SPF 50;1100;Sun_Safe_Queen;800000;Blibli
Acne Spot Treatment;900;Clear Skin Goals;600000;JD.ID
Retinol Night Cream;1500;Youthful_Glow;400000;Shopee
Eye Cream;1000;Bright_Eyes;900000;Tokopedia
Exfoliating Scrub;850;Smooth Skin Secrets;700000;Lazada
Sheet Mask (Pack of 5);1500;Masking_Maven;1500000;Sociolla
